file,exists,size,classes,versions,flags
lib/features/editor/cursor_anchor.dart,True,3397,CursorAnchor,,
lib/features/editor/selection_controller.dart,True,16734,MathProSelectionState;MathProSelectionController;MathProCaretController;_LinearCaretMetrics,mathpro-core-editor-selection-controller-v3-render-mapped-caret-aware;mathpro-core-editor-caret-controller-v10-phase6-token-aware-v172e-log-root-nested-slots,
lib/features/editor/slot_registry.dart,True,23513,NormalizedSlotBounds;SlotEntry;SlotRegistry,,
lib/features/editor/editor_commands.dart,True,47118,AtomicBackspaceEdit;StructuralSlotBackspaceEdit;LinkedSeriesSlotEdit;_AtomicRange;_SeriesLinkProfile;_SeriesTemplateMatch;EditorCommands,,
lib/features/editor/render/editor_interaction_layer.dart,True,13704,EditorSlotSelection;EditorInteractionLayer;_SlotBox;_BlinkingSlotCaret;_BlinkingSlotCaretState,,
lib/features/editor/render/mathjax_render_surface.dart,True,20210,MathJaxRenderSurface;_MathJaxRenderSurfaceState;_MathJaxRenderEvent;_MathJaxHtml;_MathJaxFirstFrameHold;_MathJaxUnavailableSurface;_MathJaxLoadingGhost;_Q30ReadableEditorMirror;_StaticMathJaxFallback,mathpro-v121-v172q30-p6-visual-baseline-cursor-only-visible-input-repair,
lib/features/workspace/editor_caret_overlay.dart,True,5487,EditorCaretOverlay;_PremiumBlinkingCaret;_PremiumBlinkingCaretState,,
lib/features/workspace/editor_viewport.dart,True,22731,EditorViewport;_ExpressionPreview;_ExpressionPreviewState;_EmptyEditorHint;_ActiveSlotGhost;_ActiveSlotGhostState,,
lib/features/formula_engine/math_layout_engine.dart,True,3156,MathLayoutBox;MathLayoutEngine,,
lib/features/formula_engine/slot_hit_testing.dart,True,6091,SlotHitTarget;SlotHitTestResult;SlotHitTesting;_Candidate,,
lib/features/formula_engine/layout_coordinate_hit_test.dart,True,633,LayoutCoordinateHitTest,,
lib/features/formula_engine/render_mapped_slot_hit_test.dart,True,10027,bridges;RenderMappedSlotHitTest,mathpro-v84-render-mapped-slot-hit-test-v172l-renderer-sync-calibrated,
lib/features/formula_engine/renderer_sync_geometry_policy.dart,True,8209,RendererSyncGeometryPolicy,mathpro-v172l-renderer-sync-geometry-calibration-v1,rendererExtractedBoundsAvailable;deterministicCalibrationEnabled;editorLoupeEnabled;greenDebugOverlayEnabled
lib/features/formula_engine/slot_interaction_calibration_policy.dart,True,6355,SlotInteractionCalibrationPolicy;SlotHitSlop,mathpro-v66-v105-premium-slot-interaction-calibration-matrix-system-cells,
lib/features/formula_engine/slot_priority_policy.dart,True,6457,SlotPriorityScore;SlotPriorityPolicy,mathpro-core-editor-v172i-priority-hit-test-calculus-matrix-system-v1,
lib/features/formula_engine/template_slot_navigation_policy.dart,True,4705,TemplateSlotNavigationPolicy,mathpro-v172i-template-slot-navigation-policy-calculus-matrix-system,
lib/features/formula_engine/pixel_qa_cursor_matrix_policy.dart,True,5658,PixelQACursorMatrixPolicy;PixelQACursorCase,mathpro-v172m-pixel-qa-cursor-matrix-v1,
lib/features/formula_engine/real_device_slot_test_protocol.dart,True,12742,RealDeviceSlotTestProtocol;ManualSlotScenario;ManualSlotScenarioResult;RealDeviceSlotTestReport;RealDeviceProtocolVerdict,mathpro-v65-real-device-interaction-lock-protocol,
lib/features/formula_engine/premium_cursor_visual_polish_policy.dart,True,2151,PremiumCursorVisualPolishPolicy,mathpro-v172n-v172q32-premium-cursor-visual-polish-role-scaled-v2,editorLoupeEnabled;greenDebugOverlayEnabled;legacySlotBoxAllowed
